location,
113.341189,23.009307
113.286094,23.105431
113.360289,22.950531
113.362638,22.939971
113.27717,23.082171
113.328334,23.114916
113.321418,23.094347
113.265288,23.120534
113.3246,23.11814
113.316531,23.119338
113.3908,22.990528
113.377426,22.945705
113.269358,23.135005
113.379841,23.145533
113.32056,23.139945
113.32714,23.131465
113.268112,23.114216
113.344417,23.135947
113.242505,23.113351
113.340436,23.141085
113.325296,23.133987
113.331454,23.120931
113.269316,23.125306
113.29691,23.124121
113.465529,23.099196
113.328317,23.114953
113.327676,23.130793
113.175638,23.466297
113.318956,23.134219
113.245819,23.113784
113.215271,23.389442
113.285049,23.133826
113.254684,23.125061
113.262059,23.194463
113.333638,23.130826
113.401503,23.121476
113.333063,23.138284
113.270161,23.104786
113.320798,23.140528
113.325738,23.084481
113.316674,23.117949
113.321805,23.116467
113.251109,23.115827
113.336938,23.134844
113.333241,23.131802
113.317963,23.095759
113.243311,23.113415
113.327924,23.191109
113.321122,23.181869
113.320814,23.139846
113.284932,23.131449
113.327625,23.125655
113.293067,23.067165
113.262355,23.126744
113.286703,23.084684
113.259528,23.133819
113.328,23.100389
113.307208,23.095409
113.262759,23.08665
113.340457,23.13841
113.428896,22.953393
113.327726,23.13226
113.331678,23.122634
113.344446,23.140838
113.332807,23.139642
113.268186,23.121493
113.250732,23.150854
113.356884,22.92393
113.231775,23.398107
113.326964,23.143146
113.285967,23.221944
113.222464,23.161984
113.29702,23.069397
113.301534,23.142922
113.368191,22.937441
113.613932,23.116807
113.276334,23.139115
113.284829,23.13425
113.317109,23.089371
113.348425,23.007009
113.268491,23.080333
113.24011,23.143203
113.310186,23.00989
113.248396,23.368769
113.508873,22.825788
113.36668,22.934739
113.265242,23.120663
113.276984,23.164428
113.270346,22.996196
113.321862,23.120267
113.302239,23.131556
113.315716,23.13623
113.29034,23.140723
113.600884,23.127897
113.325288,23.142719
113.278383,23.139608
113.301066,23.145614
113.337429,23.134944
113.346527,23.124955
113.333401,23.135676
113.257402,23.138997
113.236483,23.123788
113.599931,23.12385
113.233092,23.133095
113.236922,23.092856
113.373107,23.134113
113.328697,23.007068
113.337535,23.097927
113.240304,23.185145
113.308007,23.098155
113.293873,23.155352
113.284678,23.125818
113.257372,23.125775
113.315078,23.098335
113.248332,23.118013
113.266159,23.095036
113.249147,23.125855
113.266762,23.193962
113.20731,23.401334
113.269957,23.15727
113.323037,23.129097
113.278737,23.107767
113.279565,23.083719
113.286247,23.126299
113.368925,23.112339
113.246492,23.102714
113.388791,23.092672
113.452978,23.10792
113.344083,23.115777
113.2743,23.141792
113.33786,23.12615
113.310389,23.129164
113.327373,23.103621
113.37727,23.126297
113.326801,23.1878
113.266617,23.162959
113.349812,23.168773
113.287124,23.116124
113.332392,23.131538
113.829,23.297053
113.266613,23.125719
113.26002,23.113796
113.293795,23.263282
113.30295,23.140475
113.309991,23.128442
113.320844,23.134316
113.243992,23.106266
113.412637,23.117526
113.282532,23.117869
113.366078,22.938066
113.267,23.159667
113.239666,23.125275
113.340666,23.135891
113.359248,23.139101
113.254317,23.139971
113.308126,23.134856
113.264851,23.116273
113.208953,23.373235
113.319163,23.134166
113.338324,22.971932
113.623341,23.112406
113.332659,23.134641
113.184725,23.456739
113.263979,23.155201
113.319459,23.123514
113.304709,23.094691
113.264413,23.153972
113.525217,23.054295
113.386562,22.932848
113.361439,23.009462
113.210182,23.382854
113.413187,22.935531
113.331041,23.120477
113.25282,23.124994
113.353051,23.152023
113.331768,23.131818
113.314905,23.155893
113.228196,23.395593
113.213805,23.075517
113.293511,22.896103
113.22472,23.218666
113.322674,23.151162
113.332784,23.120699
113.138565,23.375473
113.339398,23.134182
113.223074,23.400916
113.319521,23.130113
113.307005,23.095379
113.330242,23.142954
113.373956,23.125529
113.269701,23.093522
113.268248,23.097507
113.589801,23.532832
113.294143,23.100507
113.25981,23.130804
113.329316,23.132815
113.311222,23.143637
113.2247,23.083896
113.20995,23.159329
113.279077,23.186565
113.272746,23.095504
113.256885,23.139007
113.325988,23.120635
113.362656,23.121477
113.332006,23.131572
113.329051,23.150932
113.248814,23.141462
113.251722,23.116969
113.32094,23.02714
113.356751,22.924325
113.329831,23.143093
113.320957,23.131547
113.367544,23.137658
113.269733,23.086246
113.362103,22.941564
113.340937,23.138006
113.275184,23.122778
113.26142,23.111861
113.330462,23.127417
113.276,23.090348
113.317998,23.088734
113.42037,23.113527
113.256059,23.180421
113.250467,23.11822
113.332891,23.022279
113.288174,23.138772
113.289101,23.102111
113.281206,23.126878
113.359287,23.139854
113.322,23.181442
113.263884,23.091241
113.32904,23.135328
113.336822,23.137342
113.240397,23.100458
113.324844,23.148479
113.405172,23.122962
113.275597,23.073451
113.328951,23.139253
113.283345,23.085637
113.368287,22.928941
113.520018,23.048478
113.315995,23.036494
113.381491,23.123359
113.327775,23.131954
113.274267,23.088139
113.588216,23.112987
113.325604,23.079471
113.360837,23.21086
113.601761,23.149427
113.327729,23.131684
113.250076,23.176783
113.344506,23.120887
113.362379,23.119533
113.324843,23.142474
113.311451,23.118576
113.37291,23.042147
113.446231,22.791413
113.355044,23.29363
113.239011,23.072225
113.264034,23.159843
113.327011,23.131704
113.586391,23.542357
113.235259,23.096561
113.436431,23.141356
113.24395,23.112253
113.313167,23.138528
113.328702,23.14014
113.345092,23.140388
113.345081,23.139696
113.35606,23.083409
113.258477,23.113079
113.251829,23.121717
113.844474,23.282157
113.236208,23.124214
113.318436,23.062836
113.31262,23.121986
113.26385,23.179695
113.2595,23.134661
113.28919,23.081425
113.305393,23.094786
113.268788,23.120807
113.251808,23.179979
113.326844,23.14524
113.413939,23.190206
113.327746,23.131823
113.238559,23.127785
113.275309,23.074383
113.325442,23.187851
113.253838,23.175872
113.278671,23.115465
113.395677,23.127946
113.361651,23.141921
113.282367,23.13851
113.241825,23.392153
113.395601,23.060555
113.340633,23.132174
113.527485,23.056656
113.515579,23.061264
113.288255,23.095142
113.248925,23.115296
113.267168,23.122846
113.25539,23.108752
113.261501,23.098321
113.266854,23.172899
113.526358,23.257893
113.391509,23.116365
113.253696,23.172564
113.381613,23.126015
113.358425,23.136104
113.255767,23.173249
113.271532,23.133516
113.306866,23.145686
113.332439,23.128881
113.315341,23.087006
113.327489,23.132844
113.361519,22.941706
113.313712,23.12028
113.293254,23.136017
113.378211,22.929027
113.597031,23.543995
113.332121,23.131568
113.271835,23.131796
113.276933,23.108408
113.545598,22.80078
113.366333,23.132517
113.224601,23.219227
113.29664,23.268822
113.40038,23.115
113.530857,23.080745
113.363383,22.948417
113.364198,22.94199
113.362114,22.961333
113.26732,23.125868
113.315544,23.097688
113.316954,23.139683
113.27464,23.128563
113.258499,23.12995
113.448742,23.095104
113.342271,22.903784
113.831549,23.299191
113.53335,23.143715
113.20436,23.380615
113.272177,23.121363
113.286379,23.126719
113.310922,23.095798
113.252654,23.118931
113.314103,23.102328
113.394751,23.123915
113.249816,23.138221
113.412171,22.801212
113.336998,23.13255
113.34435,23.120278
113.514556,23.082538
113.207984,23.157125
113.239308,23.108349
113.272441,23.129976
113.282662,23.125937
113.297283,23.146668
113.444742,23.187585
113.290026,23.14049
113.286161,23.118445
113.326535,23.131641
113.28227,23.125657
113.278695,23.086837
113.238346,23.126458
113.223422,23.122269
113.205117,23.222589
113.274661,23.142161
113.290686,23.069331
113.318956,23.134219
113.288317,23.146102
113.249004,23.149901
113.309329,23.095619
113.361665,23.295308
113.413807,22.933981
113.307971,23.097386
113.240357,23.111323
113.454581,23.106411
113.25674,23.117208
113.468843,23.102896
113.224969,23.147282
113.31997,23.174223
113.318787,23.123032
113.282562,23.129565
113.225205,23.397771
113.500048,22.756371
113.262668,23.125083
113.376867,23.131026
113.321769,23.14143
113.241619,23.118266
113.252462,23.147309
113.347724,23.170831
113.256573,23.123457
113.340686,23.141656
113.31075,23.137864
113.253518,23.166169
113.297352,23.129519
113.368699,22.921432
113.368606,22.939956
113.294385,23.336369
113.240075,23.149533
113.404972,23.122319
113.327535,23.132828
113.233647,23.403599
113.335322,23.171131
113.345957,23.011893
113.246969,23.110544
113.284423,23.134267
113.322894,23.149761
113.319876,23.097019
113.331466,23.134861
113.175352,23.459822
113.294375,23.120212
113.263872,23.091557
113.290765,23.073924
113.32676,23.187917
113.587137,22.800174
113.275158,23.095058
113.253146,23.102464
113.322768,23.1323
113.377054,22.938036
113.214896,23.108116
113.232607,23.11858
113.301656,23.144218
113.576065,23.126133
113.325865,23.187775
113.325169,23.148474
113.267067,23.173943
113.328021,23.145137
113.260341,23.130596
113.350681,23.125003
113.454969,23.103839
113.307399,23.125775
113.322418,23.131741
113.385519,23.131805
113.36976,22.948142
113.260613,23.124868
113.303163,23.131595
113.438411,22.958184
113.276353,23.314416
113.312194,23.139236
113.411737,23.074766
113.381989,23.125747
113.526079,23.053678
113.309167,23.024946
113.332583,23.17881
113.378971,23.134419
113.402594,23.117075
113.27827,23.1177
113.33342,23.135336
113.322955,23.131657
113.526602,23.06538
113.525266,23.055495
113.310046,23.128471
113.380637,23.131908
113.32518,23.148381
113.266829,23.162426
113.327877,23.12913
113.220202,23.051504
113.378682,23.039387
113.231074,23.094084
113.270437,23.086644
113.345473,23.141942
113.310218,23.129075
113.286258,23.120786
113.242708,23.125836
113.260533,23.130363
113.372675,23.086014
113.270165,23.104722
113.295754,23.121297
113.275095,23.10259
113.265106,23.181008
113.227442,23.144623
113.495003,23.581532
113.334194,23.151135
113.195602,23.48046
113.404829,22.801616
113.156268,23.469379
113.288833,23.13186
113.369226,22.920488
113.365795,22.941506
113.272182,23.119914
113.236408,23.169468
113.31054,23.135262
113.299455,23.071201
113.313278,23.116106
113.288432,23.135589
113.325858,23.196092
113.284965,23.131353
113.275915,23.076321
113.284318,23.085536
113.286556,23.11763
113.363609,23.112291
113.318041,23.109645
113.367796,23.133696
113.328631,23.161216
113.271641,23.136008
113.269698,23.093532
113.547797,22.779158
113.252753,23.157693
113.312479,23.140993
113.269776,23.180993
113.309983,23.118913
113.310333,23.120131
113.605703,23.12442
113.247661,23.129133
113.310706,23.085558
113.260642,23.126888
113.26693,23.173015
113.240349,23.110054
113.402154,23.12225
113.307651,23.12822
113.257839,23.168176
113.260648,23.098039
113.326967,23.131735
113.285562,23.113977
113.204889,23.390458
113.266603,23.125757
113.233484,23.079746
113.252022,23.129622
113.254738,23.111123
113.270297,23.115355
113.258805,23.130691
113.446103,23.103083
113.273778,23.206542
113.262815,23.100027
113.270552,23.117566
113.818695,23.28442
113.338138,23.138946
113.333295,23.085423
113.233839,23.399314
113.269356,23.16309
113.282349,23.125651
113.535034,22.777128
113.232417,23.118574
113.264393,23.080377
113.227034,23.390585
113.254358,23.133577
113.285471,23.13355
113.209535,23.405325
113.367026,23.133581
113.217337,23.400569
113.336639,23.151003
113.261628,23.108091
113.366004,22.925068
113.243965,23.143106
113.238606,23.126218
113.249298,23.150186
113.272555,23.126296
113.289213,23.101096
113.235235,23.09602
113.317969,23.022574
113.296463,23.131207
113.267171,23.122843
113.320758,23.063973
113.413816,22.809714
113.614657,23.1169
113.332141,23.133742
113.82644,23.287486
113.255935,23.18035
113.549378,22.790097
113.340722,23.142651
113.268993,23.080533
113.342955,23.131936
113.329645,23.143371
113.37854,23.125419
113.283385,23.125811
113.318112,23.119884
113.327943,23.160754
113.285661,23.141183
113.241519,23.117485
113.369403,23.362214
113.356079,23.114475
113.390837,23.117078
113.2732,23.17731
113.269387,23.135186
113.344306,23.135528
113.305959,23.135468
113.258287,23.158062
113.242035,23.116911
113.322565,23.118431
113.24431,23.13485
113.237161,23.116681
113.244856,23.132236
113.236743,23.174565
113.327534,23.125417
113.359776,23.120255
113.289077,23.092589
113.370068,22.952704
113.35363,22.961485
113.281711,23.126869
113.392996,23.00465
113.241838,23.122114
113.398553,22.938027
113.402516,23.119055
113.615083,23.117919
113.454938,23.100693
113.402189,23.121106
113.26414,23.099116
113.297511,23.084635
113.326167,23.183496
113.257397,23.190853
113.320299,23.180001
113.208431,23.155959
113.386075,23.125403
113.263718,23.091522
113.282511,23.125393
113.246387,23.109752
113.217425,23.380331
113.273791,23.095193
113.257117,23.160785
113.37831,23.075786
113.415934,23.123827
113.249717,23.216638
113.283996,23.211088
113.296732,23.128324
113.314733,23.085729
113.286653,23.25221
113.324364,23.180284
113.33782,23.192125
113.234041,23.095409
113.251763,23.204388
113.274567,23.101232
113.254136,23.173194
113.375441,23.134974
113.277973,23.100544
113.271511,23.101155
113.288673,23.093959
113.410744,23.048384
113.257333,23.158331
113.314163,23.124059
113.333122,23.120889
113.319876,23.182216
113.313588,23.054915
113.382569,23.122711
113.389889,23.127485
113.178849,23.450387
113.390982,23.088358
113.28675,23.116427
113.324466,23.118488
113.275059,23.12448
113.421296,23.123787
113.324579,23.203497
113.657586,23.164888
113.282622,23.205022
113.252713,23.118827
113.241638,23.114801
113.236198,23.12147
113.275227,23.03648
113.280174,23.20521
113.415794,22.923751
113.316962,23.033132
113.829408,23.299313
113.260615,23.056776
113.39845,22.780525
113.238531,23.107442
113.313928,23.124103
113.238739,23.114213
113.443889,23.099493
113.241784,23.115917
113.405622,23.120025
113.563147,22.769777
113.54606,23.10389
113.282354,23.113736
113.28639,23.135034
113.29364,23.155119
113.345768,23.142742
113.334375,23.1509
113.406239,23.143755
113.46964,23.109839
113.199257,23.068925
113.3227,23.115032
113.658828,23.170835
113.342019,23.106815
113.400528,22.806289
113.315776,23.097108
113.559497,23.118765
113.27805,23.199757
113.228698,23.082865
113.298389,23.129411
113.241755,23.397981
113.20256,23.397343
113.337964,23.010662
113.283496,23.134881
113.328974,23.211157
113.286427,23.246791
113.280397,23.099958
113.232178,23.091422
113.353965,22.953557
113.278216,23.142525
113.24616,23.10593
113.29245,23.067378
113.336072,23.078588
113.329638,23.132746
113.277802,23.085932
113.51724,23.082271
113.403934,23.122756
113.258179,23.150858
113.283029,23.148497
113.240078,23.204106
113.348857,22.859028
113.204269,23.380956
113.313035,22.947649
113.272001,23.135366
113.605588,23.526249
113.210177,23.395342
113.82159,23.27523
113.893048,23.41683
113.417297,22.922891
113.243691,23.11229
113.595485,22.748428
113.224308,23.361589
113.328408,23.010123
113.217075,23.37893
113.331928,23.08273
113.352618,23.154381
113.259784,23.178577
113.45689,23.102706
113.277442,23.121092
113.363721,23.2881
113.219849,23.102856
113.218758,23.383302
113.376248,23.042546
113.329189,23.001291
113.293876,23.101206
113.797357,23.171593
113.321018,23.135066
113.173077,23.397473
113.420471,23.034856
113.221244,23.105188
113.264254,23.091703
113.267921,23.114875
113.23822,23.097299
113.286567,23.123537
113.44711,23.102508
113.263977,23.144589
113.822556,23.284958
113.822247,23.29533
113.388348,22.959145
113.587883,23.547711
113.312985,23.117761
113.331546,23.085696
113.32762,23.101214
113.283391,23.122303
113.313077,22.931275
113.23907,23.14023
113.454872,23.100974
113.216447,23.42653
113.34833,22.997027
113.319338,23.097712
113.50277,23.175958
113.289146,23.205475
113.339886,23.011361
113.482413,23.158908
113.238284,23.401908
113.318841,23.118906
113.296214,23.111159
113.282178,23.132613
113.496095,22.956202
113.261185,23.135704
113.317838,23.114584
113.233193,23.088238
113.254041,23.120478
113.293662,23.09328
113.176709,23.397673
113.174789,23.397817
113.277876,23.115863
113.253355,23.089616
113.653821,23.644497
113.322075,23.128611
113.34908,22.913727
113.308454,23.102773
113.285833,23.085068
113.385856,22.787762
113.247718,23.140521
113.342501,23.070369
113.289552,23.136962
113.262782,23.099914
113.235077,23.112893
113.297217,23.219153
113.342501,23.070369
113.289552,23.136962
113.262782,23.099914
113.235077,23.112893
113.297217,23.219153
113.262434,23.117474
113.244182,23.113324
113.337296,23.140824
113.297142,23.129175
113.258616,23.139382
113.333146,23.15461
113.415088,22.804143
113.323105,23.129144
113.369787,22.950541
113.539311,23.127711
113.25282,23.124994
113.342757,23.134108
113.239994,23.12329
113.291264,23.095295
113.242442,23.128388
113.367961,23.132236
113.336806,23.155532
113.237233,23.17493
113.223597,23.399852
113.383415,23.050765
113.32051,23.114476
113.248367,23.112568
113.334626,23.141343
113.387392,22.779662
113.554069,22.800764
113.149555,23.460077
113.269749,23.112169
113.295239,23.102907
113.323411,23.128713
113.293034,23.06712
113.262377,23.226084
113.24717,23.126353
113.330113,23.120515
113.355769,23.113779
113.3206,23.119024
113.373407,22.94248
113.414356,22.805362
113.246349,23.110378
113.56923,22.741852
113.267539,23.129697
113.25123,23.143252
113.322894,23.149761
113.253987,23.124164
113.25433,23.090783
113.334569,23.090107
113.2784,23.118172
113.297717,23.137481
113.212229,23.112715
113.32349,23.142785
113.510847,22.831287
113.358644,23.134003
113.392137,23.086345
113.268512,23.080342
113.82867,23.29704
113.339808,23.135285
113.270264,23.108413
113.282137,23.125335
113.214802,23.232432
113.716369,23.699699
113.370262,23.071151
113.446008,23.163378
113.314529,23.118523
113.265383,23.115981
113.291067,23.145621
113.34801,23.078812
113.362464,23.119299
113.255972,23.176008
113.415671,23.164686
113.238572,23.122235
113.208133,23.381698
113.595772,23.551421
113.279455,23.118318
113.327681,23.098838
113.25239,23.089689
113.371774,22.933791
113.29935,23.098945
113.277622,23.071796
113.25587,23.126037
113.331552,23.095789
113.363998,23.110016
113.585051,23.545198
113.348367,22.996371
113.238612,23.116509
113.34165,23.125625
113.36336,23.096007
113.323543,23.147599
113.328827,23.198501
113.384348,23.174978
113.361381,22.949931
113.261963,23.126007
113.250197,23.121952
113.274127,23.122586
113.317771,23.152671
113.452321,23.168203
113.34378,23.012319
113.467907,23.097828
113.218699,23.090084
113.294164,23.124684
113.384289,23.117994
113.340113,23.099075
113.372785,23.042016
113.291381,23.135709
113.334184,23.15172
113.276364,23.117586
113.367539,22.932398
113.353665,22.939363
113.237882,23.10802
113.295988,23.04751
113.569822,23.187676
113.263166,23.109691
113.277457,23.100669
113.251692,23.104051
113.486525,22.96542
113.26437,23.098374
113.266093,23.109965
113.269358,23.135005
113.32714,23.131465
113.465529,23.099196
113.333063,23.138284
113.327924,23.191109
113.327625,23.125655
113.262355,23.126744
113.310186,23.00989
113.233092,23.133095
113.246492,23.102714
113.413187,22.935531
113.213805,23.075517
113.329316,23.132815
113.329831,23.143093
113.263884,23.091241
113.327729,23.131684
113.844474,23.282157
113.26385,23.179695
113.275309,23.074383
113.282367,23.13851
113.448742,23.095104
113.290686,23.069331
113.404972,23.122319
113.233647,23.403599
113.27827,23.1177
113.380637,23.131908
113.32518,23.148381
113.527295,23.084865
113.318041,23.109645
113.254837,23.120338
113.35363,22.961485
113.243166,23.205744
113.287566,23.137018
113.657586,23.164888
113.204026,23.380632
113.23473,23.157463
113.228246,23.089488
113.316396,23.124711
113.338528,23.141022
113.295378,23.071648
113.218315,23.410238
113.211939,23.416912
113.466361,23.169394
113.326943,23.187765
113.831377,23.294094
113.301201,23.143747
